id,job_title,career_level,experience_level,education_level,skills
1135,Senior Front End Developer,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),"['web application', 'front end', 'version control', 'javascript library', 'spring boot', 'angular', 'web technologies', 'typescript', 'managing', 'code base', 'source', 'git', 'bootstrap', 'json', 'design patterns', 'java']"
1140,Ancillary & Medical Affairs Division Head (All Around Indonesia),Manajer/Asisten Manajer,5 tahun,Sarjana (S1),"['service strategy', 'business planning', 'decision make', 'leadership', 'allied health', 'business plans', 'budget', 'targets', 'accountable', 'medical services', 'subject matter', 'hospital management', 'medical service', 'licensed', 'field customer', 'professional']"
1142,Marketing / Sales,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['business partner', 'marketing strategy', 'marketing analysis', 'coordination', 'sales', 'government', 'effective marketing', 'manage relationship', 'marketing manager', 'lighting industry', 'marketing development', 'strategy marketing', 'communication', 'presentation', 'manage marketing', 'agile']"
1145,"People Team, Recruiter",Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['talent management', 'talent acquisition', 'english language', 'creative', 'planning', 'coordinate', 'employer branding', 'ad hoc', 'cross functional teams', 'prioritize', 'communication', 'bahasa']"
1149,Staff Business Analyst,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['commercial operation', 'operation marketing', 'management', 'analytical']"
1150,Sales Field,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['brand awareness', 'market research', 'operational reporting', 'business process', 'non', 'sales', 'scheme', 'streamlining', 'operation']"
1151,Quality Control Manager,Manajer/Asisten Manajer,2 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['quality control', 'metal fabrication', 'define measure analyze improve and control', 'manufacturing process', 'mechanical inspection', 'manufacture engineering', 'production support', 'hydrostatic testing', 'self starter', 'verbal communication skill', 'pressure vessel', 'carbon steel', 'manager', 'workmanship', 'review designs', 'blueprint', 'metal fabricated', 'mechanical', 'fabrication', 'engineering manufacturing', 'welding', 'supervise', 'weld', 'welded', 'traceability', 'visual', 'acceptance', 'acceptance test', 'drawings', 'floor', 'manage inventory', 'receiving shipping', 'safe', 'fabricated', 'corrective action', 'manage', 'final assembly', 'quality systems', 'audits', 'read', 'blueprints', 'weld symbols', 'instruments', 'calipers', 'micrometers', 'reinforcement', 'schedule', 'eye', 'managers', 'joint design']"
1152,FINANCE ACCOUNTING DEPT. HEAD,Manajer/Asisten Manajer,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['account payable', 'fund accounting', 'financial statement', 'problem solve', 'decision make', 'stress management', 'time management', 'finance', 'accounting', 'audit', 'computerized accounting', 'accounts receivables', 'leadership', 'team building', 'developed accounting', 'skills analytical', 'spreadsheet', 'word processing']"
1156,MANDARIN TRANSLATOR（中文翻译）,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['microsoft word', 'microsoft excel', 'social medium', 'translator', 'microsoft power', 'bahasa', 'autocad', 'edit editing', 'coreldraw', 'purchasing', 'compatible', 'sales']"
1157,Reservoir Engineer,Tidak Terspesifikasi,,Tidak terspesifikasi,"['reservoir engineering', 'well testing', 'collecting', 'operations', 'wellbore', 'drill wells', 'forecasts', 'simulation', 'data acquisition', 'management', 'surveys', 'logging']"
1158,Sales Head Automotive Roda 2,Supervisor/Koordinator,2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)","['customer service', 'marketing', 'marketing manager', 'strategi marketing', 'sales', 'leadership', 'skill communication', 'achievement orientation']"
1161,Human Capital Generalist,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['talent acquisition', 'human resource policy', 'human resource', 'electronic', 'communication']"
1162,Quality Assurance,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['test case', 'quality assurance', 'informatic engineering', 'software development', 'business process', 'track', 'accounting']"
1164,Full Stack Developer,Supervisor/Koordinator,3 tahun,Sarjana (S1),"['unit testing', 'application development', 'computer science', 'information technology', 'html', 'quality software', 'software code', 'developers application', 'manage activities', 'planned', 'php', 'javascript', 'laravel', 'react']"
1165,CREATIVE DIGITAL DEPARTMENT HEAD,Tidak Terspesifikasi,,Tidak terspesifikasi,"['social medium', 'public relation', 'marketing management', 'digital marketing', 'adobe photoshop', 'microsoft office', 'communication', 'creative', 'multimedia', 'advertising', 'copywriting', 'operate', 'design microsoft', 'leadership', 'teamwork']"
1170,Presales Elektronika (CDCE),Pegawai (non-manajemen & non-supervisor),4 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['request for proposal', 'value engineering', 'sound system', 'access control', 'cctv', 'presales', 'estimator', 'fire alarm', 'cost analysis', 'autocad', 'sketchup']"
1171,Admin Officer,Tidak Terspesifikasi,,Tidak terspesifikasi,"['customer service', 'learning experience', 'banks', 'student outcomes', 'inquiries', 'telecommunication', 'administrative support', 'manager', 'manage', 'communication written']"
1174,Account Excecutive - Agen Sales Medan,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,"['consultative selling', 'customer service', 'market research', 'time management', 'business administration', 'sales', 'manage relationships', 'professional', 'negotiating', 'google apps', 'communication', 'presentation']"
1176,Marketing Admin Assistant,Pegawai (non-manajemen & non-supervisor),,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['basic writing', 'language', 'language english', 'reporting daily', 'sales']"
1177,Sales Executive,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['non', 'sales it', 'managing', 'customer requirements', 'sales', 'plan']"
1180,Marketing and Sales Executive,Supervisor/Koordinator,1 tahun,Sarjana (S1),"['loyalty program', 'project management', 'planning executing', 'sales', 'executing', 'managing marketing', 'managing', 'collaborating', 'graphic', 'graphic designer', 'marketing collateral', 'creative', 'hosting', 'plan sales', 'english', 'eye', 'sustainable']"
1182,Junior Tax,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['analytical skill', 'accounting system', 'accounting', 'consulting', 'reconciliation', 'calculation', 'collaboration', 'tax', 'audit']"
1185,Area Sales & Promotion Manager - Sumbagut & Aceh (FMCG),Supervisor/Koordinator,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['marketing intelligence', 'direct selling', 'sale promotion', 'survey', 'manager', 'sales', 'keras']"
1187,Supervisor Housekeeping / Cleaning Service,Supervisor/Koordinator,3 tahun,Tidak terspesifikasi,"['building management', 'management', 'bahasa', 'leadership', 'multitasking']"
1190,Marketing Officer,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['credit analysis', 'telemarketing', 'survey', 'sales']"
1191,Data Analyst / Supply Chain Spv Manager,Supervisor/Koordinator,3 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['supply chain', 'supply chain management', 'production planning', 'restaurant management', 'statistics mathematics', 'logistics', 'analytical', 'forecasting', 'stocks', 'food', 'beverage', 'sales', 'finance']"
1193,"Teknisi Workshop (Electrical, Mechanical, Utility, Workshop)",Lulusan baru/Pengalaman kerja kurang dari 1 tahun,1 tahun,"SMA, SMU/SMK/STM","['plasma', 'mechanical', 'electrical', 'rolling']"
1194,Purchasing Import & Logistic Supervisor,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),"['purchasing process', 'electronic engineering', 'industrial engineering', 'warehouse management', 'material management', 'management', 'procurement', 'bid', 'coordinate', 'bids', 'manage performances', 'long term', 'suppliers evaluate', 'purchasing', 'forecasting demand', 'storage', 'accountable manage', 'manage inventory', 'plan', 'source', 'manage', 'engineering electrical', 'mechanical', 'transportation', 'transportation engineering', 'mechatronic', 'export import', 'positive', 'communication', 'english']"
1196,HR Manager (Factory Multinational),CEO/GM/Direktur/Manajer Senior,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['job evaluation', 'recruitment training', 'grading', 'leveling', 'supervise', 'negotiating', 'governments', 'license', 'reservations', 'management requirements', 'management', 'psychology', 'english']"
1198,Marketing Staff (Karawang Area),Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),"['supply chain', 'spatial analysis', 'crisis communication', 'automotive manufacturing', 'communication', 'manage supply', 'purchasing', 'logistics', 'communicate', 'manage crisis', 'manage marketing', 'japanese', 'english', 'communication skill']"
1199,DEPUTY SITE HSE MANAGER,Manajer/Asisten Manajer,15 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['environment management', 'management system', 'incident command system', 'microsoft office', 'system monitor', 'system procedure', 'technical support', 'nebosh', 'professionalism', 'skills qualification', 'professional', 'safety management', 'oil gas', 'operations', 'manager', 'standard international', 'investigation', 'tap', 'auditing', 'management', 'integrated management', 'plans', 'audit', 'plan', 'dissemination', 'statistics', 'legislation', 'construction', 'commissioning', 'supervision']"
1200,ACCOUNT EXECUTIVE,Pegawai (non-manajemen & non-supervisor),3 tahun,Tidak terspesifikasi,"['mari', 'sales', 'keras', 'probation', 'professional']"
1201,Digital Marketing Senior Manager,CEO/GM/Direktur/Manajer Senior,8 tahun,Sarjana (S1),"['e commerce', 'shopper marketing', 'content development', 'content strategy', 'web analytic', 'marketing strategy', 'online marketing', 'collaborative', 'innovative', 'manage', 'customer acquisition', 'research market', 'data manage', 'management', 'analytics', 'managing', 'scale', 'leadership', 'coordination', 'english']"
1202,Outsource Controller Staff,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['pest control', 'outsourcing', 'landscape', 'management building']"
1204,Marketing Coordinator,Pegawai (non-manajemen & non-supervisor),2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['brand awareness', 'marketing material', 'marketing effectiveness', 'strategic planning', 'marketing strategy', 'strategic marketing', 'customer retention', 'marketing management', 'write english', 'performance report', 'crm', 'english', 'franchise', 'marketing plans', 'national marketing', 'tools programs', 'plans', 'sales', 'integrated', 'manage', 'communication collaboration', 'continuous improvement', 'creative', 'brand', 'align strategic', 'plan', 'long term', 'sustainable', 'leadership', 'communication', 'innovation', 'bahasa', 'planning', 'forecasting', 'analytic skills', 'finance', 'budget']"
1205,Quality Engineer,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),"['quality management', 'quality management system', 'management system', 'quality control', 'api', 'audit', 'corrective action', 'manufacturing management', 'quality system', 'plant system', 'logistics', 'communications']"
1206,Actuary Senior Officer,Supervisor/Koordinator,2 tahun,Sarjana (S1),"['insurance product', 'statistical', 'data', 'calculating', 'analysis data', 'calculation']"
1210,Professional Medical Representative (beberapa kota),Pegawai (non-manajemen & non-supervisor),3 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['sales', 'branded', 'neurology', 'medical representative', 'key opinion leader']"
1211,HSE Officer (Chief / Asisstant Manager),Supervisor/Koordinator,5 tahun,Sarjana (S1),"['english language', 'reading', 'writing', 'plan', 'drill', 'patrol', 'fire protection', 'instruments']"
1212,Manager Area Jawa Timur & Bali,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),"['problem solve', 'mobile phone', 'communication', 'friendly', 'manage', 'targets', 'sales']"
1213,Staff Admin Sales,Pegawai (non-manajemen & non-supervisor),3 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma)","['supply chain', 'vendor manage inventory', 'communication strategy', 'international business', 'marketing strategy', 'international trade', 'detail orient', 'scm', 'coordinated', 'coordinate', 'sales', 'demand planning', 'claim', 'credit note', 'execute', 'marketing international', 'finance', 'developed communicational', 'budget', 'management', 'comprehend', 'exim', 'english', 'nice']"
1214,Talent Partner,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['microsoft office', 'computer system', 'support staff', 'masterpiece', 'strata', 'english', 'self motivated', 'persistent', 'certification programs']"
1215,Sales,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM","['sales', 'teamwork', 'keras', 'c']"
1216,Guest Activities Supervisor,Supervisor/Koordinator,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['active listening', 'problem solve', 'customer service', 'emergency procedure', 'hospitality', 'communication skills', 'communication', 'multitasking', 'professional', 'brand', 'operations', 'guest concerns', 'communicate', 'scheduling']"
1218,Sales & Marketing Manager,Manajer/Asisten Manajer,15 tahun,Sarjana (S1),"['data collection', 'market share', 'influence skill', 'sales', 'health industry', 'logistic', 'sales plan', 'communicate', 'benchmark', 'market data', 'depth market', 'trends market', 'translated', 'managing sales', 'presentation', 'bahasa', 'english']"
1219,HR Manager (Factory Multinational),CEO/GM/Direktur/Manajer Senior,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['job evaluation', 'recruitment training', 'grading', 'leveling', 'supervise', 'negotiating', 'governments', 'license', 'reservations', 'management requirements', 'management', 'psychology', 'english']"
1220,STAFF IT,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['php', 'mysql', 'swift', 'laravel', 'dot', 'web developer', 'entry data']"
1221,Training Manager,Manajer/Asisten Manajer,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['marketing material', 'progress report', 'lesson planning', 'management', 'research', 'administer tests', 'best practices', 'internal marketing', 'training programs', 'templates', 'teaching', 'customer serviceability', 'communicate', 'plans', 'manage', 'english', 'writing']"
1222,IT - Quality Assurance (HO),Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['test case', 'manual testing', 'api', 'verbal communications', 'automated testing', 'english', 'bahasa']"
1223,Junior Engineer (Service Desk),Pegawai (non-manajemen & non-supervisor),,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['otrs', 'windows server', 'mysql', 'product managed', 'managed engine']"
1226,Performance Analyst - Palembang,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),"['business study', 'power bi', 'management', 'data mining', 'leadership', 'analytical']"
1228,Internship Program: Partnership Intern,Tidak Terspesifikasi,,Tidak terspesifikasi,"['time management', 'problem solve', 'consultant', 'consolidate', 'daily reports', 'memos', 'compile', 'finance', 'accounting', 'agile', 'processing data']"
1229,Executive Secretary,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['electronics', 'english', 'management', 'booking', 'claim', 'file', 'system print', 'finance', 'legal documents', 'operating']"
1231,FinOps Assistant Accountant,Tidak Terspesifikasi,,Tidak terspesifikasi,"['professional service', 'fix asset', 'balance sheet', 'general ledger', 'verbal communication skill', 'consultancies', 'operated', 'project solutions', 'innovative', 'forging', 'operations', 'accountant', 'consulting', 'business financial', 'month end', 'prepayment', 'accruals', 'reconciliation', 'audit', 'accounting', 'resourceful', 'finance', 'english']"
1234,Accounting Supervisor,Supervisor/Koordinator,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['fix asset', 'financial statement', 'business administration', 'supervising', 'journal', 'accounting', 'working paper', 'finance', 'accounting standard', 'manage', 'depreciation', 'transaction', 'financial transaction', 'english', 'accounting principles', 'accounting certification', 'java']"
1235,Video editor,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['digital marketing', 'video design', 'video editor', 'visual', 'multimedia', 'photography', 'tiktok']"
1236,Partnership Manager,Manajer/Asisten Manajer,2 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['chemical engineering', 'industrial engineering', 'write communication', 'reach', 'petrochemical', 'track', 'sales', 'telemarketing', 'targeted', 'build relationships', 'negotiation', 'analytical', 'english', 'planning', 'merchandising', 'marketing manager', 'brainstorm', 'promotions sales', 'supplier relationships', 'reinforce']"
1237,Junior Accounting Staff,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),"['account payable', 'financial datum', 'receivable', 'month end', 'coordinate', 'accounting manager', 'non', 'extended hours']"
1240,Area Manager Kepulauan Riau,Manajer/Asisten Manajer,2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)","['process improvement', 'product engineering', 'logistics', 'delivery services', 'operations', 'massive', 'operational', 'algorithm', 'tracking', 'data driven', 'operate', 'improving processes', 'best practice', 'execute', 'scale', 'analytical', 'manage operations', 'finalized', 'operating procedures', 'product process', 'logistic', 'communication']"
1242,Account Payable Supervisor,Supervisor/Koordinator,2 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['account payable', 'supervise', 'finance', 'operational', 'accounting', 'collaboratively', 'employees management', 'creativity', 'problem solving']"
1243,Creative Marketing & Public Relation,Supervisor/Koordinator,1 tahun,Tidak terspesifikasi,"['social medium', 'brand management', 'analytical skill', 'public relation', 'planning', 'results monitoring', 'manage', 'coordinate', 'economics', 'english', 'track', 'leadership', 'manage media', 'negotiation', 'positive', 'rajawali', 'c']"
1244,Tactical Tax Supervisor,Supervisor/Koordinator,3 tahun,Sarjana (S1),"['income tax', 'pam', 'audits', 'preparing documents', 'communicating', 'appeal', 'refunds', 'accounting', 'reduction', 'numeracy', 'recruitment process']"
1246,Data Governance Team Lead,Manajer/Asisten Manajer,8 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['data management', 'data governance', 'stakeholder management', 'data flow', 'data sources', 'transformation', 'analyst', 'governance policies', 'management', 'industry standards', 'finance', 'related industry', 'translate', 'communication', 'communication skills', 'bahasa', 'english']"
1247,Administrator Order,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)","['production planning', 'microsoft office', 'inputting order', 'management logistics', 'operate', 'english']"
1248,Sales Manager,Manajer/Asisten Manajer,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['customer satisfaction', 'sale management', 'freight forwarding', 'write english', 'organizational skill', 'analytical skill', 'relationship management', 'business acumen', 'research', 'planning', 'sales', 'generate leads', 'logistic', 'operation', 'presentation', 'communication interpersonal', 'track', 'negotiations', 'plan', 'corporate management', 'manage']"
1253,Finance Staff,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['account receivable', 'english', 'accounting', 'informatics', 'management', 'logistic', 'collection', 'treasury']"
1254,Head Chef,Manajer/Asisten Manajer,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['food safety', 'safety standard', 'cooking', 'leadership', 'food', 'communicate', 'targets']"
1255,Finance & Accounting Supervisor,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),"['balance sheet', 'income statement', 'cash flow', 'cash flow statement', 'accounting', 'finance', 'equity']"
1259,Development Operation,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,"['web server', 'bahasa', 'automation', 'jenkins', 'sonarqube', 'control management', 'gitlab', 'cloud azure', 'automated testing', 'selenium', 'manage', 'research']"
1261,Internal Audit,Supervisor/Koordinator,5 tahun,Tidak terspesifikasi,"['risk management', 'management accounting', 'governance risk management and compliance', 'quality control', 'internal auditing', 'internal control', 'audit', 'self motivated', 'detailed oriented', 'working environment', 'communication', 'supervise', 'planning', 'governance', 'management', 'operational', 'internal audit', 'training', 'training communications']"
1262,IT Support Staff,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['operating system', 'sql server', 'windows server', 'server linux', 'communicate', 'bahasa', 'english', 'analytical']"
1263,Control Electronic Technician,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,"['japanese', 'brand', 'electrical', 'operation', 'programming', 'plc', 'function block', 'troubleshooting', 'control logic', 'installation', 'archiving', 'library system', 'manager', 'programming standards', 'library']"
1265,Staff Finance,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,"['voucher', 'bank', 'management', 'budgeting']"
1268,Analyst or Associate - Venture Capital - Jakarta Based,Manajer/Asisten Manajer,2 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['management consulting', 'business case', 'due diligence', 'market research', 'feasibility study', 'competitor analysis', 'business model', 'corporate strategy', 'problem solve', 'business acumen', 'project management', 'ips', 'sourcing', 'managing investment', 'analytics', 'researching', 'targeted', 'building relationship', 'analysis financial', 'financial modelling', 'investment', 'management team', 'forecasts', 'presenting', 'business plans', 'communication', 'english', 'bahasa', 'pe', 'market segments', 'consulting', 'analytical', 'decision making', 'self motivated', 'adaptability', 'energetic', 'brand']"
1269,SPV HSE,Supervisor/Koordinator,4 tahun,Sarjana (S1),"['environmental health', 'safety engineering', 'risk management', 'management system', 'accident prevention', 'fire prevention', 'engineering environmental', 'health environmental', 'handling safety', 'communication program', 'investigating', 'management', 'government good', 'operational level', 'audits', 'investigation', 'analysis processes', 'presentation', 'writing', 'risk assessment', 'emergency response', 'audit process', 'leadership', 'communication']"
1271,QA Engineer,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,"['quality assurance', 'front end', 'test case', 'software quality', 'mobile app', 'web portal', 'debugging', 'investigate', 'track', 'deficiencies', 'collaborate', 'product manager', 'backend', 'execute', 'writing', 'test', 'test plans', 'testing android', 'automated testing', 'testing tools']"
1272,Business Development,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['social medium', 'critical thinking', 'problem solve', 'sales', 'services researching', 'makes decisions', 'franchise', 'canvassing', 'license', 'motorcycle', 'spreadsheets', 'communication', 'negotiation', 'presentations']"
1273,SAP ABAP PROGRAMMER,Supervisor/Koordinator,2 tahun,Sarjana (S1),"['bdc', 'programming', 'data interfaces', 'fiori']"
1275,Consultant - Intelligent Automation - ID,Tidak Terspesifikasi,,Tidak terspesifikasi,"['artificial intelligence', 'cognitive automation', 'robotic process automation', 'intelligent character recognition', 'decision make', 'organizational intelligence', 'business process', 'business case', 'change control', 'process analysis', 'financial service', 'automation anywhere', 'analytical skill', 'write communication', 'business acumen', 'reach', 'collaborative', 'analytics', 'consultant', 'automation', 'chatbots', 'virtual assistants', 'robotics', 'markets primary', 'communicating', 'technical software', 'software requirements', 'robotic', 'map', 'design solution', 'robot', 'operating', 'transformation', 'design solutions', 'automated', 'workflow', 'maintainable', 'structured change', 'g technology', 'technology process', 'communication', 'software engineer', 'software developer', 'programming language', 'java', 'python', 'agile development', 'development methodologies', 'analytics software', 'r', 'sas', 'machine learning', 'uipath', 'blueprism', 'professional', 'english', 'self motivated', 'tenacity', 'focused results', 'teamwork', 'leadership', 'consulting', 'long term', 'public speaking', 'presentation']"
1276,Sales Supervisor,Supervisor/Koordinator,2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['problem solve', 'sales', 'c', 'high leadership', 'planning', 'team building', 'keras', 'aluminum', 'composite', 'r']"
1278,Trainer Cloud Product,Pegawai (non-manajemen & non-supervisor),4 tahun,Sarjana (S1),"['google cloud', 'computer science', 'training presentation', 'research development', 'sales', 'engineering computer', 'communication skill', 'english', 'non', 'professional', 'program training']"
1279,Tax Manager (FKS Food Sejahtera),Manajer/Asisten Manajer,7 tahun,Sarjana (S1),"['tax compliance', 'tax planning', 'audit', 'manager']"
1280,Finance Officer,Tidak Terspesifikasi,,Tidak terspesifikasi,"['financial analysis', 'balance sheet', 'microsoft office', 'time management', 'verbal communication skill', 'operational', 'planning', 'bank', 'accounting', 'analytical']"
1281,Front-end Developer,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['front end', 'user experience', 'product design', 'web application', 'information technology', 'application development', 'javascript framework', 'vue js', 'version control', 'api', 'collaborate', 'cross functional teams', 'product manager', 'manager designer', 'usability', 'teamwork', 'rest api', 'based development', 'approach experienced', 'git']"
1282,.NET Programmer,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['computer science', 'information technology', 'asp net', 'project management', 'interpersonal communication', 'problem solve', 'css', 'c', 'ajax', 'java', 'script', 'sql server', 'consulting', 'english', 'bahasa', 'analytical', 'targets', 'self motivated', 'problem solving']"
1283,SME Relationship Manager (Surabaya),Tidak Terspesifikasi,,Tidak terspesifikasi,"['commercial banking', 'fact find', 'analytical thinking', 'financing', 'licensed', 'relationship manager', 'generate leads', 'sme financing', 'inquiries', 'innovative', 'value customer', 'negotiate', 'adapt', 'businesses excellent', 'communication skills', 'english', 'negotiation']"
1285,Management Development Program Divisi Sales Batch 18,Supervisor/Koordinator,,Sarjana (S1),"['distribution management', 'sales', 'operation', 'targetting', 'c', 'program training']"
1291,Capacity Design Planning Engineer (GPON),Pegawai (non-manajemen & non-supervisor),5 tahun,Sarjana (S1),"['network element', 'ip address', 'pmo', 'vlan', 'mpls', 'topology', 'network development', 'utilization network', 'switch', 'node', 'managing', 'network design', 'cacti', 'prtg', 'operate']"
1292,Casual Leasing Supervisor,Supervisor/Koordinator,3 tahun,Sarjana (S1),"['exhibition', 'management', 'quality product', 'communication skill', 'negotiation', 'english']"
1297,SOCIAL MEDIA SPECIALIST,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),"['social medium', 'goal orient', 'detail orient', 'medium strategy', 'brand awareness', 'digital marketing', 'marketing strategy', 'advertising media', 'creative', 'multimedia', 'best practices', 'illustrator', 'indesign', 'grammar', 'english', 'bahasa', 'presentation', 'communication skills', 'manage time', 'brand', 'visual', 'search marketing', 'marketing digital']"
1298,Project Management Supervisor,Pegawai (non-manajemen & non-supervisor),3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['project documentation', 'industrial engineering', 'project management', 'manage', 'calculate', 'article', 'communicate', 'planning', 'english', 'analytical', 'korean', 'read', 'drawing']"
1299,Supply Chain Manager,Manajer/Asisten Manajer,3 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['supply chain', 'analytical skill', 'leadership', 'manager', 'merchandiser', 'logistic', 'planning', 'transport management']"
1301,Sales Manager,CEO/GM/Direktur/Manajer Senior,3 tahun,Sarjana (S1),"['goal set', 'relationship building', 'supervise', 'sales', 'manage', 'food', 'negotiation', 'communication']"
1302,Senior Software Engineer (Golang),Manajer/Asisten Manajer,5 tahun,Sarjana (S1),"['collaborating', 'writing', 'mysql', 'postgresql']"
1303,MANAGER WAREHOUSE DAN LOGISTIC KARAWANG,Manajer/Asisten Manajer,7 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['apa', 'manager', 'operator', 'tariff', 'bahasa']"
1305,Head of Insight & Strategy,Tidak Terspesifikasi,,Tidak terspesifikasi,"['write communication', 'project management', 'market research', 'sale operation', 'user experience', 'operations', 'logistics', 'delivery services', 'massive', 'operational', 'algorithm', 'tracking', 'data driven', 'consulting', 'network based', 'business modelability', 'analytical', 'financial modelling', 'manage', 'level management', 'prioritize', 'positive', 'collaboration', 'performance', 'sales performance', 'innovations', 'data analysis', 'targeting', 'project testing', 'infrastructure', 'engine sustainable', 'growth sustainable', 'sustainable', 'logistic', 'designing tests', 'managing key', 'read']"
